Time	LH_Ext_HC	LH_FLX_HC	
0.0612	-0.05097128	-0.0603694	
0.0614	-0.05094684	-0.06037336	
0.0616	-0.05092243	-0.06037732	
0.0618	-0.05089805	-0.06038129	
0.062	-0.05087369	-0.06038525	
0.0622	-0.05084936	-0.06038922	
0.0624	-0.05082505	-0.06039319	
0.0626	-0.05080077	-0.06039716	
0.0628	-0.05077652	-0.06040113	
0.063	-0.05075229	-0.06040511	
0.0632	-0.05072808	-0.06040908	
0.0634	-0.05070391	-0.06041306	
0.0636	-0.05067975	-0.06041704	
0.0638	-0.05065562	-0.06042103	
0.064	-0.05063152	-0.06042502	
0.0642	-0.05060744	-0.06042901	
0.06439999	-0.05058339	-0.060433	
0.0646	-0.05055936	-0.060437	
0.0648	-0.05053536	-0.060441	
0.065	-0.05051139	-0.060445	
0.0652	-0.05048743	-0.06044901	
0.0654	-0.05046351	-0.06045302	
0.0656	-0.0504396	-0.06045703	
0.0658	-0.05041573	-0.06046105	
0.066	-0.05039188	-0.06046507	
0.0662	-0.05036804	-0.06046909	
0.0664	-0.05034424	-0.06047312	
0.06659999	-0.05032047	-0.06047715	
0.0668	-0.05029671	-0.06048118	
0.067	-0.05027298	-0.06048522	
0.0672	-0.05024928	-0.06048926	
0.0674	-0.0502256	-0.0604933	
0.0676	-0.05020195	-0.06049735	
0.0678	-0.05017832	-0.0605014	
0.068	-0.05015471	-0.06050546	
0.0682	-0.05013113	-0.06050952	
0.0684	-0.05010758	-0.06051358	
0.0686	-0.05008404	-0.06051765	
0.06879999	-0.05006054	-0.06052172	
0.069	-0.05003706	-0.06052579	
0.0692	-0.0500136	-0.06052987	
0.0694	-0.04999017	-0.06053396	
0.0696	-0.04996676	-0.06053804	
0.0698	-0.04994337	-0.06054213	
0.07	-0.04992002	-0.06054623	
0.0702	-0.04989668	-0.06055033	
0.0704	-0.04987337	-0.06055443	
0.0706	-0.04985008	-0.06055854	
0.0708	-0.04982683	-0.06056265	
0.07099999	-0.04980359	-0.06056676	
0.0712	-0.04978038	-0.06057088	
0.0714	-0.04975719	-0.060575	
0.0716	-0.04973403	-0.06057913	
0.0718	-0.04971089	-0.06058326	
0.072	-0.04968778	-0.06058739	
0.0722	-0.04966469	-0.06059153	
0.0724	-0.04964163	-0.06059567	
0.0726	-0.04961859	-0.06059982	
0.0728	-0.04959558	-0.06060397	
0.073	-0.04957259	-0.06060812	
0.07319999	-0.04954963	-0.06061228	
0.0734	-0.04952669	-0.06061644	
0.0736	-0.04950377	-0.0606206	
0.0738	-0.04948089	-0.06062477	
0.074	-0.04945802	-0.06062894	
0.0742	-0.04943518	-0.06063312	
0.0744	-0.04941237	-0.0606373	
0.0746	-0.04938957	-0.06064148	
0.0748	-0.04936681	-0.06064567	
0.075	-0.04934407	-0.06064985	
0.0752	-0.04932136	-0.06065405	
0.07539999	-0.04929867	-0.06065824	
0.0756	-0.049276	-0.06066244	
0.0758	-0.04925336	-0.06066665	
0.076	-0.04923075	-0.06067085	
0.0762	-0.04920816	-0.06067506	
0.0764	-0.0491856	-0.06067928	
0.0766	-0.04916305	-0.06068349	
0.0768	-0.04914054	-0.06068771	
0.077	-0.04911805	-0.06069193	
0.0772	-0.04909559	-0.06069616	
0.0774	-0.04907315	-0.06070039	
0.07759999	-0.04905074	-0.06070462	
0.0778	-0.04902835	-0.06070885	
0.078	-0.04900599	-0.06071309	
0.0782	-0.04898365	-0.06071733	
0.0784	-0.04896134	-0.06072158	
0.0786	-0.04893906	-0.06072582	
0.0788	-0.04891679	-0.06073007	
0.079	-0.04889456	-0.06073432	
0.0792	-0.04887235	-0.06073857	
0.0794	-0.04885017	-0.06074283	
0.0796	-0.04882801	-0.06074709	
0.07979999	-0.04880588	-0.06075135	
0.08	-0.04878377	-0.06075561	
0.0802	-0.04876169	-0.06075988	
0.0804	-0.04873963	-0.06076415	
0.0806	-0.0487176	-0.06076842	
0.0808	-0.0486956	-0.06077269	
0.081	-0.04867362	-0.06077697	
0.0812	-0.04865167	-0.06078124	
0.0814	-0.04862975	-0.06078552	
0.0816	-0.04860784	-0.0607898	
0.0818	-0.04858597	-0.06079409	
0.08199999	-0.04856412	-0.06079837	
0.0822	-0.0485423	-0.06080265	
0.0824	-0.0485205	-0.06080694	
0.0826	-0.04849873	-0.06081123	
0.0828	-0.04847699	-0.06081552	
0.083	-0.04845527	-0.06081981	
0.0832	-0.04843358	-0.06082411	
0.0834	-0.04841191	-0.0608284	
0.0836	-0.04839027	-0.0608327	
0.0838	-0.04836866	-0.06083699	
0.084	-0.04834707	-0.06084129	
0.08419999	-0.04832552	-0.06084559	
0.0844	-0.04830398	-0.06084989	
0.0846	-0.04828247	-0.06085419	
0.0848	-0.04826099	-0.0608585	
0.085	-0.04823954	-0.0608628	
0.0852	-0.04821811	-0.0608671	
0.0854	-0.04819671	-0.06087141	
0.0856	-0.04817533	-0.06087571	
0.0858	-0.04815399	-0.06088002	
0.086	-0.04813267	-0.06088433	
0.0862	-0.04811137	-0.06088863	
0.08639999	-0.0480901	-0.06089294	
0.0866	-0.04806886	-0.06089725	
0.08679999	-0.04804765	-0.06090156	
0.087	-0.04802646	-0.06090586	
0.0872	-0.0480053	-0.06091017	
0.0874	-0.04798416	-0.06091448	
0.0876	-0.04796306	-0.06091879	
0.0878	-0.04794198	-0.0609231	
0.088	-0.04792092	-0.0609274	
0.0882	-0.0478999	-0.06093171	
0.0884	-0.0478789	-0.06093602	
0.08859999	-0.04785793	-0.06094033	
0.0888	-0.04783699	-0.06094463	
0.08899999	-0.04781607	-0.06094894	
0.0892	-0.04779518	-0.06095324	
0.0894	-0.04777431	-0.06095755	
0.0896	-0.04775348	-0.06096185	
0.0898	-0.04773267	-0.06096616	
0.09	-0.04771189	-0.06097046	
0.0902	-0.04769113	-0.06097476	
0.0904	-0.04767041	-0.06097906	
0.0906	-0.04764971	-0.06098336	
0.09079999	-0.04762904	-0.06098766	
0.091	-0.04760839	-0.06099196	
0.09119999	-0.04758778	-0.06099626	
0.0914	-0.04756719	-0.06100056	
0.0916	-0.04754663	-0.06100485	
0.0918	-0.0475261	-0.06100914	
0.092	-0.04750559	-0.06101343	
0.0922	-0.04748511	-0.06101772	
0.0924	-0.04746466	-0.06102201	
0.0926	-0.04744424	-0.0610263	
0.0928	-0.04742384	-0.06103058	
0.09299999	-0.04740348	-0.06103487	
0.0932	-0.04738314	-0.06103915	
0.09339999	-0.04736283	-0.06104343	
0.0936	-0.04734254	-0.0610477	
0.0938	-0.04732229	-0.06105198	
0.094	-0.04730206	-0.06105625	
0.0942	-0.04728186	-0.06106052	
0.0944	-0.04726169	-0.06106479	
0.0946	-0.04724155	-0.06106906	
0.0948	-0.04722143	-0.06107332	
0.095	-0.04720135	-0.06107758	
0.09519999	-0.04718129	-0.06108184	
0.0954	-0.04716126	-0.0610861	
0.09559999	-0.04714125	-0.06109035	
0.0958	-0.04712128	-0.0610946	
0.096	-0.04710133	-0.06109885	
0.0962	-0.04708142	-0.06110309	
0.0964	-0.04706153	-0.06110734	
0.0966	-0.04704167	-0.06111158	
0.0968	-0.04702184	-0.06111582	
0.097	-0.04700203	-0.06112005	
0.0972	-0.04698226	-0.06112428	
0.09739999	-0.04696251	-0.0611285	
0.0976	-0.04694279	-0.06113273	
0.09779999	-0.0469231	-0.06113695	
0.098	-0.04690344	-0.06114117	
0.0982	-0.04688381	-0.06114538	
0.0984	-0.0468642	-0.06114959	
0.0986	-0.04684463	-0.0611538	
0.0988	-0.04682508	-0.061158	
0.099	-0.04680557	-0.0611622	
0.0992	-0.04678608	-0.0611664	
0.0994	-0.04676662	-0.06117059	
0.09959999	-0.04674719	-0.06117478	
0.0998	-0.04672778	-0.06117896	
0.09999999	-0.04674752	-0.06118314	
0.1002	-0.04676555	-0.06118607	
0.1004	-0.04678226	-0.06118786	
0.1006	-0.04679787	-0.06118862	
0.1008	-0.04681252	-0.06118841	
0.101	-0.04682632	-0.06118731	
0.1012	-0.04683932	-0.06118537	
0.1014	-0.04685156	-0.06118266	
0.1016	-0.04686308	-0.06117921	
0.1018	-0.0468739	-0.06117509	
0.102	-0.04688405	-0.06117034	
0.1022	-0.04689354	-0.061165	
0.1024	-0.04690239	-0.0611591	
0.1026	-0.04691062	-0.0611527	
0.1028	-0.04691824	-0.06114583	
0.103	-0.04692527	-0.06113853	
0.1032	-0.04693172	-0.06113082	
0.1034	-0.04693761	-0.06112275	
0.1036	-0.04694295	-0.06111433	
0.1038	-0.04694776	-0.06110561	
0.104	-0.04695204	-0.0610966	
0.1042	-0.04695581	-0.06108735	
0.1044	-0.04695908	-0.06107786	
0.1046	-0.04696186	-0.06106817	
0.1048	-0.04696417	-0.06105829	
0.105	-0.04696602	-0.06104826	
0.1052	-0.04696741	-0.06103808	
0.1054	-0.04696837	-0.06102778	
0.1056	-0.04696889	-0.06101738	
0.1058	-0.046969	-0.06100689	
0.106	-0.0469687	-0.06099633	
0.1062	-0.04696799	-0.06098573	
0.1064	-0.04696691	-0.06097508	
0.1066	-0.04696544	-0.06096441	
0.1068	-0.04696359	-0.06095372	
0.107	-0.04696139	-0.06094304	
0.1072	-0.04695884	-0.06093236	
0.1074	-0.04695594	-0.06092172	
0.1076	-0.04695271	-0.0609111	
0.1078	-0.04694916	-0.06090054	
0.108	-0.04694528	-0.06089002	
0.1082	-0.04694109	-0.06087957	
0.1084	-0.0469366	-0.06086918	
0.1086	-0.04693181	-0.06085887	
0.1088	-0.04692674	-0.06084865	
0.109	-0.04692139	-0.06083852	
0.1092	-0.04691576	-0.06082848	
0.1094	-0.04690986	-0.06081855	
0.1096	-0.04690371	-0.06080873	
0.1098	-0.0468973	-0.06079902	
0.11	-0.04689065	-0.06078944	
0.1102	-0.04688375	-0.06077997	
0.1104	-0.04687662	-0.06077063	
0.1106	-0.04686926	-0.06076142	
0.1108	-0.04686168	-0.06075234	
0.111	-0.04685388	-0.0607434	
0.1112	-0.04684587	-0.0607346	
0.1114	-0.04683765	-0.06072594	
0.1116	-0.04682924	-0.06071743	
0.1118	-0.04682063	-0.06070906	
0.112	-0.04681182	-0.06070084	
0.1122	-0.04680283	-0.06069276	
0.1124	-0.04679366	-0.06068484	
0.1126	-0.04678432	-0.06067708	
0.1128	-0.0467748	-0.06066946	
0.113	-0.04676512	-0.060662	
0.1132	-0.04675527	-0.06065469	
0.1134	-0.04674527	-0.06064754	
0.1136	-0.04673511	-0.06064054	
0.1138	-0.0467248	-0.0606337	
0.114	-0.04671435	-0.06062702	
0.1142	-0.04670375	-0.06062049	
0.1144	-0.04669302	-0.06061411	
0.1146	-0.04668215	-0.0606079	
0.1148	-0.04667115	-0.06060183	
0.115	-0.04666002	-0.06059592	
0.1152	-0.04664877	-0.06059016	
0.1154	-0.04663741	-0.06058456	
0.1156	-0.04662592	-0.06057911	
0.1158	-0.04661432	-0.06057381	
0.116	-0.04660261	-0.06056866	
0.1162	-0.04659079	-0.06056366	
0.1164	-0.04657887	-0.06055881	
0.1166	-0.04656685	-0.0605541	
0.1168	-0.04655473	-0.06054955	
0.117	-0.04654252	-0.06054514	
0.1172	-0.04653021	-0.06054087	
0.1174	-0.04651781	-0.06053674	
0.1176	-0.04650532	-0.06053276	
0.1178	-0.04649276	-0.06052891	
0.118	-0.0464801	-0.0605252	
0.1182	-0.04646737	-0.06052164	
0.1184	-0.04645456	-0.06051821	
0.1186	-0.04644167	-0.0605149	
0.1188	-0.04642872	-0.06051174	
0.119	-0.04641569	-0.0605087	
0.1192	-0.0464026	-0.0605058	
0.1194	-0.04638943	-0.06050302	
0.1196	-0.04637621	-0.06050037	
0.1198	-0.04636292	-0.06049784	
0.12	-0.04634958	-0.06049544	
0.1202	-0.04633617	-0.06049316	
0.1204	-0.04632271	-0.060491	
0.1206	-0.0463092	-0.06048895	
0.1208	-0.04629563	-0.06048702	
0.121	-0.04628201	-0.06048521	
0.1212	-0.04626835	-0.06048351	
0.1214	-0.04625463	-0.06048192	
0.1216	-0.04624088	-0.06048045	
0.1218	-0.04622708	-0.06047908	
0.122	-0.04621323	-0.06047782	
0.1222	-0.04619935	-0.06047666	
0.1224	-0.04618543	-0.0604756	
0.1226	-0.04617146	-0.06047465	
0.1228	-0.04615747	-0.0604738	
0.123	-0.04614344	-0.06047305	
0.1232	-0.04612938	-0.06047239	
0.1234	-0.04611528	-0.06047183	
0.1236	-0.04610115	-0.06047136	
